Florida,Hillsborough,2020,366,274,89,112,61,43
Florida,Holmes,2020,363,308,52,138,54,38
Florida,Indian River,2020,338,323,15,87,47,37
Florida,Lake,2020,366,354,12,87,45,32
Florida,Lee,2020,366,330,36,100,50,36
Florida,Leon,2020,366,289,74,160,58,40
Florida,Liberty,2020,358,356,2,51,44,31
Florida,Manatee,2020,366,355,11,97,44,33
Florida,Marion,2020,366,300,66,100,55,39
Florida,Martin,2020,365,320,45,95,52,36
Florida,Miami-Dade,2020,366,297,69,90,58,39
Florida,Nassau,2020,360,348,9,157,34,4
Florida,Okaloosa,2020,364,355,9,74,46,34
Florida,Orange,2020,366,326,40,93,51,36
Florida,Osceola,2020,366,354,12,90,44,32
Florida,Palm Beach,2020,361,309,52,92,54,38
Florida,Pasco,2020,366,355,11,77,46,35
Florida,Pinellas,2020,366,301,65,100,56,40
Florida,Polk,2020,366,312,54,87,54,37
Florida,Putnam,2020,366,365,1,67,27,14
Florida,Santa Rosa,2020,365,295,70,84,57,40
Florida,Sarasota,2020,366,308,58,90,55,38
Florida,Seminole,2020,365,332,33,84,49,36
Florida,St. Lucie,2020,360,351,9,74,44,33
Florida,Volusia,2020,362,327,35,77,50,38
Florida,Wakulla,2020,363,315,46,161,54,35
Georgia,Bibb,2020,366,323,43,97,52,35
Georgia,Charlton,2020,100,95,4,139,34,20
Georgia,Chatham,2020,366,296,68,131,58,39
Georgia,Chattooga,2020,245,244,1,58,43,32
Georgia,Clarke,2020,366,312,54,99,54,36
Georgia,Clayton,2020,121,103,18,90,54,28
Georgia,Cobb,2020,285,263,22,90,49,35
Georgia,Coffee,2020,120,115,4,108,42,25
Georgia,Columbia,2020,241,239,2,51,44,31
Georgia,Dawson,2020,245,239,6,74,43,31
Georgia,DeKalb,2020,366,300,65,106,57,38
Georgia,Dougherty,2020,365,276,87,114,61,37
Georgia,Douglas,2020,245,238,7,77,44,32
Georgia,Floyd,2020,365,322,43,80,52,30
Georgia,Fulton,2020,366,257,107,125,62,43
Georgia,Glynn,2020,285,273,12,96,44,31
Georgia,Gwinnett,2020,364,301,62,101,55,37
Georgia,Hall,2020,359,304,55,98,55,33
Georgia,Henry,2020,366,332,34,95,50,32
Georgia,Houston,2020,362,287,74,114,57,35
